583	Alt - Volatilité
584	Autres
585	Convertibles Autres
586	Diversified Arbitrage
587	Fonds à Capital Protégé
588	Fonds Garantis
589	Fund of Funds - Macro/Systematic
590	Fund of Funds - Equity
591	Fund of Funds - Event
592	Fund of Funds - Multistrategy
593	Global Long/Short Equity
594	Global Macro
595	Immobilier - Indirect Autres
596	Long/Short Debt
597	Long-Only Debt
598	Long-Only Equity
599	Long-Only Other
600	Matières Premières - Céréales
601	Matières Premières - Industrie & Métaux
602	Monétaires Autres Devises
603	Multistrategy
604	Obligations à échéance
605	Obligations Autres
606	Obligations Autres Devises Indexées sur l'Inflation
607	Obligations Haut Rendement Couvertes en Autres Devises
608	Obligations RMB Haut Rendement
609	Systematic Futures
610	Trading - Leveraged/Inverse Actions
611	Trading - Leveraged/Inverse Matières Premières
612	Trading - Leveraged/Inverse Obligations
613	Volatility
